item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
10,2,P111,bet,179.11,694.2337603,1940.689061,360,ɛ,EH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
19,1,P111,pid,191.6,643.9430416,2306.120439,330,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
29,1,P111,bud,180.65,637.6543197,1556.551504,330,ʌ,AH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
18,1,P111,bit,185.55,521.9969175,2176.566501,330,ɪ,IH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
22,1,P111,bode,183.22,533.8716342,1275.126908,370,o,OW,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
34,1,P111,caught,174.65,1098.791147,1563.056421,330,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
29,2,P111,bud,184.52,616.6166195,1425.738184,310,ʌ,AH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
27,2,P111,pooed,204.63,401.2774809,1809.303637,330,u,UW,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
19,2,P111,pid,194.71,591.3341321,2312.272256,320,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
5,2,P111,bod,184.79,785.8474344,1253.474051,330,ɑ,AA,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
19,3,P111,pid,187.96,459.8034989,2110.982297,300,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
15,1,P111,peat,220.77,355.5629798,2742.75102,350,i,IY,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
2,2,P111,bat,181.75,822.549224,1839.656084,300,æ,AE,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
18,2,P111,bit,180.48,521.9138951,2017.125588,300,ɪ,IH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
30,2,P111,but,186.64,702.0886492,1412.071576,300,ʌ,AH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
31,2,P111,pud,192.3,617.7272812,1431.2618,340,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
4,1,P111,pat,189.9,901.7121798,1882.925022,320,æ,AE,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
14,1,P111,beat,183.96,368.8618631,2657.791673,350,i,IY,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
7,1,P111,pod,187.32,729.6935321,1142.28755,370,ɑ,AA,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
7,2,P111,pod,186.45,747.6046194,1195.52736,360,ɑ,AA,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
28,1,P111,poot,233.13,357.276706,1637.952697,320,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
15,2,P111,peat,251.72,361.566218,2695.020164,350,i,IY,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
13,3,P111,bead,192.75,370.5441678,2716.983546,350,i,IY,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
1,2,P111,bad,185.83,905.7684882,1893.485493,350,æ,AE,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
33,2,P111,cot,190.29,863.7987832,1518.133672,340,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
11,1,P111,ped,190.7,723.2066867,2083.961417,230.23,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
11,2,P111,ped,211.64,746.7371984,2061.980816,215.4,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
3,2,P111,pad,186.73,891.3560952,1926.078809,380,æ,AE,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
32,1,P111,putt,190.81,880.165011,1548.231971,300,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
33,3,P111,cot,240.57,942.3367966,1362.077898,350,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
8,1,P111,pot,214.71,848.0091799,1284.33639,300,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
16,3,P111,peed,191.14,358.3334834,2667.074506,320,i,IY,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
32,2,P111,putt,191.15,802.1059497,1558.121974,300,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
17,1,P111,bid,202.9,550.2145979,2217.299886,350,ɪ,IH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
4,2,P111,pat,185.66,998.040272,1883.116319,370,æ,AE,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
17,2,P111,bid,183.02,478.9966909,2154.786324,310,ɪ,IH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
