item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
8,1,P101,pot,87.37,711.3248979,979.9860388,470,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
8,3,P101,pot,94.76,695.3482962,975.8373376,460,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
9,3,P101,bed,86.75,633.9273566,1462.355385,600,ɛ,EH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
9,2,P101,bed,86.19,649.647187,1587.141394,510,ɛ,EH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
9,1,P101,bed,83.38,670.7101472,1655.311793,410,ɛ,EH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
10,3,P101,bet,93.23,645.0297625,1483.632943,520,ɛ,EH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
10,1,P101,bet,82.99,631.059569,1590.139563,390,ɛ,EH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
10,2,P101,bet,88.98,652.64186,1467.659424,500,ɛ,EH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
11,2,P101,ped,91.08,336.7705182,1993.520317,275.16,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
11,3,P101,ped,99.51,418.4000005,1749.81351,255.33,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
11,1,P101,ped,94.34,449.6845386,2108.221787,325.45,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
12,3,P101,pet,95.39,665.2390234,1511.171526,540,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
12,1,P101,pet,93.14,699.8897577,1595.680269,420,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
12,2,P101,pet,99.98,644.6519897,1552.034247,500,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
13,2,P101,bead,91.7,295.1613124,2175.858603,480,i,IY,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
13,3,P101,bead,88.88,271.7042784,2206.854123,600,i,IY,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
13,1,P101,bead,87.41,298.6391857,2220.187028,400,i,IY,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
14,3,P101,beat,96.4,276.8455773,2180.692131,490,i,IY,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
14,1,P101,beat,99.66,292.0961628,2229.982444,470,i,IY,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
14,2,P101,beat,88.64,277.4879187,2343.386938,470,i,IY,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
15,1,P101,peat,91.55,301.6079175,2203.058938,420,i,IY,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
15,2,P101,peat,82.39,290.4291097,2267.250628,390,i,IY,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
15,3,P101,peat,95.45,294.0297413,2196.074917,520,i,IY,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
16,2,P101,peed,102.48,292.7631591,2169.218083,370,i,IY,voiceless,voiced,voiceless_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
16,1,P101,peed,105.87,305.6094909,2170.46887,410,i,IY,voiceless,voiced,voiceless_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
16,3,P101,peed,99.17,298.0052909,2113.143751,460,i,IY,voiceless,voiced,voiceless_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
